mode,effect_sd,lag_min,seed,horizon_min,p_value,positive_folds,post_only,pre_only,pass_bonferroni
injected,0.5,30.0,46,30,0.3746293123804209,3.0,21.0,18.0,False
injected,0.5,30.0,46,60,0.38039582128067195,3.0,23.0,20.0,False
injected,0.5,30.0,46,120,0.07480639219284058,3.0,20.0,11.0,False
injected_any,0.5,30.0,46,0,,,,,False
injected,0.5,30.0,47,30,0.30379568063654006,2.0,19.0,15.0,False
injected,0.5,30.0,47,60,0.2088460954182665,3.0,22.0,16.0,False
injected,0.5,30.0,47,120,0.04357927665114403,4.0,19.0,9.0,False
injected_any,0.5,30.0,47,0,,,,,False
injected,0.5,30.0,48,30,0.2025161230703816,3.0,21.0,15.0,False
injected,0.5,30.0,48,60,0.3327329060383094,1.0,26.0,22.0,False
injected,0.5,30.0,48,120,0.09387077949941158,3.0,23.0,14.0,False
injected_any,0.5,30.0,48,0,,,,,False
injected,0.5,30.0,49,30,0.15525232953950768,3.0,21.0,14.0,False
